id,subarea,objective,question,answer,explanation,difficulty,tags
F618,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Tone and Style?,Tone reflects the author's attitude; style refers to the author's language choices and structure,"Tone (formal, humorous, sarcastic) reveals author's attitude. Style includes diction, syntax, imagery, and structure. Both shape meaning and reader response.",2,"{""tone"",""style"",""author's craft""}"
F619,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Reader Response Theory?,Meaning arises from the reader's interpretation and personal engagement with a text,"Reader Response Theory emphasizes readers' active role in creating meaning. Personal experiences, beliefs, and contexts shape interpretation. Validates diverse readings and encourages reflection.",2,"{""reader response"",""interpretation"",""theory""}"
F620,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is a Reading Journal?,"A tool for recording personal responses, reflections, and interpretations of texts","Reading Journals capture thoughts, questions, connections, and reactions during/after reading. Supports metacognition, deepens comprehension, and documents intellectual growth.",1,"{""reading journal"",""reflection"",""response""}"
F621,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Writing to Learn?,"Using writing (journals, logs, essays) to clarify thinking and connect ideas across disciplines","Writing to Learn uses informal writing to process information, not just demonstrate knowledge. Includes quick writes, reflective journals, concept maps. Deepens understanding in all subjects.",2,"{""writing to learn"",""reflection"",""cross-curricular""}"
F622,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Inquiry Writing?,"Writing that generates authentic questions, explores problems, and reflects on learning","Inquiry Writing begins with genuine curiosity, not prescribed topics. Students pose questions, research, analyze findings, and reflect. Promotes critical thinking and authentic engagement.",2,"{""inquiry"",""research"",""critical thinking""}"
F623,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Visual Communication?,"Conveying information through images, charts, graphs, videos, or performance","Visual Communication uses non-textual modes to convey meaning. Includes infographics, diagrams, photos, videos. Often more immediate and accessible than text alone. Essential 21st century literacy.",2,"{""visual communication"",""multimodal"",""media""}"
F624,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Media Literacy?,"The ability to analyze, evaluate, and create media messages in various forms","Media Literacy includes understanding how media is constructed, purposes, techniques, and effects. Enables critical consumption and ethical production of media. Essential for navigating information age.",2,"{""media literacy"",""critical thinking"",""evaluation""}"
F625,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What are Propaganda Techniques?,"Methods used to manipulate opinion—bandwagon, testimonial, glittering generalities, fear appeal","Propaganda Techniques influence without full information or critical thought. Bandwagon (everyone's doing it), testimonial (celebrity endorsement), fear appeal (threats). Recognizing these protects against manipulation.",2,"{""propaganda"",""manipulation"",""critical thinking""}"
F626,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Multimodal Communication?,"Using combinations of text, sound, and visuals to communicate meaning","Multimodal Communication integrates multiple modes (linguistic, visual, audio, gestural, spatial) simultaneously. Example: Video combines narration, images, music. Richer than single-mode communication.",2,"{""multimodal"",""communication"",""integration""}"
F627,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Critical Evaluation of Media?,"Assessing media messages for accuracy, bias, purpose, and effect on public perception","Critical Evaluation of Media questions who created it, why, what techniques are used, what's included/omitted, and whose interests are served. Essential for informed citizenship in media-saturated world.",2,"{""critical evaluation"",""media"",""analysis""}"
F628,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Charts and Graphs Interpretation?,Extracting and analyzing meaning from visual data representations,"Charts and Graphs Interpretation requires understanding axes, scales, labels, and data relationships. Skills include identifying trends, comparing values, and drawing conclusions. Critical for informational literacy.",2,"{""data interpretation"",""graphs"",""visual literacy""}"
F629,Skills & Processes,"Reading Strategies, Critical Analysis, Reader Response, Cross-Curricular Writing, and Media Literacy",What is Synergy in Media?,Combined media elements (image + text + sound) that reinforce one another's message,"Synergy in Media occurs when multiple modes work together to create meaning greater than the sum of parts. Example: Documentary using interview (audio), archival photos (visual), captions (text) together for powerful effect.",3,"{""synergy"",""media"",""integration""}"
F630,Meaning & Communication,History and development of the English language,What was the primary influence on Old English vocabulary?,Norse vocabulary introduced through Viking contact,"The Viking invasions infused Old English with Norse loanwords like 'sky,' 'egg,' and 'window,' shaping northern dialects. These words became permanent features of English.",2,"{""Old English"",""Norse"",""Viking"",""language history""}"
F631,Meaning & Communication,History and development of the English language,What event most contributed to standardizing English spelling and grammar?,The introduction of the printing press by William Caxton in 1476,The printing press made written English more uniform and spread London's dialect as a standard. Mass production of texts required consistent spelling conventions.,2,"{""printing press"",""standardization"",""Caxton""}"
F632,Meaning & Communication,History and development of the English language,How did global expansion influence English vocabulary?,"Colonial contact introduced loanwords from Hindi, Arabic, Swahili, and other languages","Global expansion gave English words like 'bungalow' (Hindi), 'algebra' (Arabic), and 'safari' (Swahili), demonstrating English's ability to absorb vocabulary from worldwide contact.",2,"{""colonialism"",""loanwords"",""global English""}"
F633,Meaning & Communication,History and development of the English language,What caused the divergence of British and American English spelling?,Noah Webster's dictionary reforms,"Webster intentionally simplified spellings—'color' vs. 'colour,' 'center' vs. 'centre'—to promote linguistic independence in the new American nation.",2,"{""American English"",""Webster"",""spelling reform""}"
F634,Meaning & Communication,History and development of the English language,What caused rapid vocabulary expansion in the 20th century?,Technological and scientific innovation,"Modern inventions created terms like 'television,' 'internet,' 'genetic code,' and 'smartphone.' Science and technology drive the most rapid vocabulary growth in contemporary English.",2,"{""20th century"",""technology"",""vocabulary""}"
F635,Meaning & Communication,History and development of the English language,How do social movements shape language?,They influence evolving norms like gender-inclusive pronouns (singular 'they'),Contemporary social awareness drives language change. The acceptance of singular 'they' for non-binary individuals shows how identity and expression movements reshape usage norms.,2,"{""social movements"",""pronouns"",""language change""}"
F636,Meaning & Communication,History and development of the English language,"What demonstrates English as a living, evolving language?",The emergence of internet slang and new verb forms like 'to google',"Digital communication continuously produces new vocabulary and usage patterns. Words like 'google,' 'tweet,' and 'selfie' show language adapting to technological change.",2,"{""living language"",""internet"",""neologisms""}"
F637,Meaning & Communication,History and development of the English language,How do regional dialects develop?,Through isolation and distinct cultural contact patterns,"Geography, migration, and community interaction create region-specific pronunciations and idioms. Dialects reflect local history, settlement patterns, and cultural influences.",2,"{""dialects"",""regional variation"",""language geography""}"
F638,Meaning & Communication,History and development of the English language,What does Harlem Renaissance writing demonstrate about language?,Creative adaptation of vernacular speech to convey cultural identity,"Writers like Langston Hughes and Zora Neale Hurston blended African American vernacular with literary English to express cultural voice and authenticity, showing language as identity.",2,"{""Harlem Renaissance"",""vernacular"",""cultural identity""}"
F639,Meaning & Communication,History and development of the English language,What are 'World Englishes'?,Localized varieties of English shaped by regional and cultural factors,"'World Englishes' recognizes that British, Indian, Nigerian, and Singaporean English are all legitimate, evolving varieties. Each reflects local linguistic and cultural influences.",2,"{""World Englishes"",""linguistic diversity"",""varieties""}"
F640,Literature & Understanding,Understanding the purposes and values of teaching literature,"What is the primary educational purpose of pairing multicultural novels like The Joy Luck Club, Bless Me, Ultima, and The Namesake?",To explore the experiences of cultural identity and assimilation in the United States,"Each novel portrays generational and cultural negotiation, making them ideal for discussing themes of identity and assimilation. This pairing helps students understand diverse cultural perspectives and experiences.",2,"{""multicultural literature"",""cultural identity"",""assimilation"",""teaching literature""}"
F641,Literature & Understanding,Understanding the purposes and values of teaching literature,Why would a teacher pair The Diary of Anne Frank with Night by Elie Wiesel?,To examine personal and historical perspectives on human rights and moral courage,"Pairing survivor accounts helps students connect literature to ethical and historical understanding. These texts provide different viewpoints on the Holocaust, fostering empathy and critical thinking about human rights.",2,"{""Holocaust literature"",""human rights"",""moral courage"",""teaching literature""}"
F642,Literature & Understanding,Understanding the purposes and values of teaching literature,What is the main instructional benefit of comparing Their Eyes Were Watching God with modern spoken-word poetry?,To identify social commentary on gender and voice across time periods,"This comparison links historical and contemporary expressions of autonomy and voice, illustrating literature's social purpose. Students can see how themes of empowerment and self-expression evolve across different forms and eras.",2,"{""thematic comparison"",""gender"",""voice"",""literary purpose""}"
F643,Literature & Understanding,Understanding the purposes and values of teaching literature,What is the main purpose of a 'Literature of Place' unit featuring environmental writers like Mary Oliver and Wendell Berry?,To connect students' reading to ecological awareness and personal reflection,This thematic unit integrates literature with environmental ethics and reflective thinking. It helps students develop awareness of humanity's relationship with nature while encouraging personal connections to place.,2,"{""environmental literature"",""place-based learning"",""ecological awareness"",""teaching literature""}"
F644,Literature & Understanding,Understanding the purposes and values of teaching literature,Why would a teacher compare Things Fall Apart by Chinua Achebe with early British colonial novels?,To expose students to non-Western viewpoints and post-colonial themes,"Achebe's work reclaims narrative authority, showing literature's power to challenge dominant cultural perspectives. This comparison helps students understand colonialism from multiple viewpoints and recognize how literature shapes historical narratives.",2,"{""post-colonial literature"",""cultural perspectives"",""narrative authority"",""teaching literature""}"
F645,Literature & Understanding,"World Literature in English, exclusive of North America",What is the primary purpose of Emily Brontë's use of multiple narrators and non-linear structure in Wuthering Heights?,To present differing psychological perspectives that complicate moral judgment,"Brontë's framing devices (Lockwood and Nelly) invite readers to weigh conflicting viewpoints, deepening the novel's moral ambiguity. This narrative technique creates layers of interpretation and challenges readers to form their own moral conclusions.",2,"{""Wuthering Heights"",""Emily Brontë"",""narrative structure"",""multiple narrators"",""moral ambiguity""}"
F646,Literature & Understanding,"World Literature in English, exclusive of North America",How does Elizabeth Gaskell's North and South address industrialization and class conflict?,It integrates social realism with moral sympathy to critique economic inequality,Gaskell's realist approach humanizes labor issues and bridges moral and social commentary—an early example of industrial fiction. She combines detailed observation of working-class life with empathetic storytelling to awaken social conscience.,2,"{""Elizabeth Gaskell"",""North and South"",""industrialization"",""social realism"",""Victorian literature""}"
F647,Literature & Understanding,"World Literature in English, exclusive of North America",Why was Charlotte Brontë's Jane Eyre considered groundbreaking among nineteenth-century novels?,It depicted a female protagonist whose moral and emotional autonomy challenge Victorian gender norms,"Jane's insistence on self-respect and conscience makes the novel an early feminist and psychological narrative. She refuses to compromise her values for love or social status, asserting her right to independence and moral agency.",2,"{""Charlotte Brontë"",""Jane Eyre"",""feminism"",""Victorian gender norms"",""female autonomy""}"
F648,Literature & Understanding,"World Literature in English, exclusive of North America",How does Emily Brontë's depiction of nature in Wuthering Heights differ from typical Romantic literature?,It presents the natural world as indifferent or violent rather than purely inspiring,"Her wild moorland setting mirrors the intensity of human passion and cruelty—nature as emotional landscape, not idyllic refuge. Unlike Romantic idealization of nature as a source of transcendence, Brontë's nature reflects raw human emotion and conflict.",2,"{""Wuthering Heights"",""Emily Brontë"",""nature imagery"",""Romanticism"",""Gothic literature""}"
F649,Literature & Understanding,"World Literature in English, exclusive of North America",Why does Elizabeth Gaskell combine sentimental narrative techniques with journalistic observation in Mary Barton?,To appeal to middle-class readers' empathy for working-class suffering,Gaskell uses empathy and realism to awaken social conscience among her readership—hallmarks of early social-problem fiction. This blend makes the industrial struggles accessible and emotionally resonant to readers unfamiliar with factory life.,2,"{""Elizabeth Gaskell"",""Mary Barton"",""social conscience"",""social-problem fiction"",""Victorian literature""}"
F650,Genre & Craft,English syntax and sentence structure,What makes the sentence 'They the park quickly across ran' incorrect?,It violates English syntax by scrambling normal word order (subject–verb–object),Standard English syntax follows subject–verb–object order. The correct version would be 'They ran quickly across the park.' Scrambling word order creates ungrammatical sentences that violate English conventions.,1,"{""syntax"",""word order"",""sentence structure"",""grammar""}"
F651,Genre & Craft,Parallel structure and sentence coherence,"What is faulty parallel structure and why is 'She enjoys dancing, to swim, and playing tennis' incorrect?",Parallel structure requires consistent grammatical forms; this mixes gerunds with an infinitive,"Parallel structure means using the same grammatical pattern for items in a series. The correct version would be 'She enjoys dancing, swimming, and playing tennis' (all gerunds) or 'She likes to dance, to swim, and to play tennis' (all infinitives).",2,"{""parallel structure"",""grammar"",""consistency"",""sentence structure""}"
F652,Genre & Craft,Sentence fragments and complete sentences,What is a sentence fragment and why is 'Because she was late to the meeting' incomplete?,A fragment is a dependent clause without a main clause; this needs an independent clause to be complete,"A sentence fragment lacks a complete thought. 'Because she was late to the meeting' is a dependent clause that needs a main clause, like 'Because she was late to the meeting, she missed the announcement.' Dependent clauses cannot stand alone.",2,"{""sentence fragments"",""dependent clauses"",""complete sentences"",""grammar""}"
F653,Genre & Craft,Modifiers and clarity,What is a misplaced modifier and what's wrong with 'The teacher handed the papers to the students on the desk'?,"'On the desk' incorrectly modifies 'students' instead of 'papers', creating confusion about what's on the desk","A misplaced modifier is positioned incorrectly, causing ambiguity or illogical meaning. The sentence suggests students are on the desk. The correct version would be 'The teacher handed the papers on the desk to the students' or 'The teacher handed to the students the papers on the desk.'",2,"{""misplaced modifiers"",""clarity"",""grammar"",""sentence structure""}"
F654,Genre & Craft,Structural ambiguity and coordination,What makes 'She told him she loved her cat and so did he' structurally ambiguous?,"The coordination creates ambiguity: did he also tell her, or did he also love her cat?",Structural ambiguity occurs when sentence structure allows multiple interpretations. 'So did he' could mean 'he also told her' or 'he also loved her cat.' Clear writing avoids such ambiguity through careful coordination and punctuation.,2,"{""structural ambiguity"",""coordination"",""clarity"",""sentence structure""}"
F655,Genre & Craft,Morphology and word structure,What are bound morphemes and why does 'unbelievable' contain two of them?,'Un-' and '-able' are both bound morphemes that cannot stand alone; they attach to the free base 'believe',"Bound morphemes are meaningful units that must attach to other morphemes. In 'unbelievable,' 'un-' (negation prefix) and '-able' (adjective-forming suffix) are bound to the free morpheme 'believe.' Neither can function independently as words.",2,"{""morphology"",""bound morphemes"",""word structure"",""linguistics""}"
F656,Genre & Craft,Inflectional vs. derivational morphology,What is inflectional morphology and why is 'walk → walked' an example?,Inflectional morphology changes grammatical function without changing core meaning; '-ed' marks past tense,"Inflectional morphemes modify grammatical features (tense, number, case) without creating new words or changing word class. 'Walked' is still a verb meaning 'to walk,' just in past tense. This differs from derivational morphology, which creates new words.",2,"{""inflectional morphology"",""grammar"",""tense"",""linguistics""}"
F657,Genre & Craft,Syntactic ambiguity,Why is 'Visiting relatives can be exhausting' syntactically ambiguous?,'Visiting relatives' can be a noun phrase (the act of visiting) or a participial phrase (relatives who visit),"Syntactic ambiguity occurs when phrase structure allows multiple interpretations. This sentence could mean: (1) the act of visiting relatives is exhausting, or (2) relatives who are visiting you are exhausting. The phrase structure permits both readings.",2,"{""syntactic ambiguity"",""phrase structure"",""linguistics"",""grammar""}"
F658,Genre & Craft,Derivational morphology,What is derivational morphology and why is 'happy → unhappy' an example?,Derivational morphology creates new words with changed meanings; 'un-' transforms the meaning of 'happy',"Derivational morphemes create new words by changing meaning or word class. Adding 'un-' to 'happy' creates a word with opposite meaning. Unlike inflectional morphemes (which only add grammatical information), derivational changes are more fundamental and create distinct lexical items.",2,"{""derivational morphology"",""word formation"",""prefixes"",""linguistics""}"
F659,Genre & Craft,Semantic agreement,What is semantic agreement and why does 'The thunder laughed across the sky' violate it?,Semantic agreement requires logical relationships between subject and predicate; thunder cannot literally laugh,"Semantic agreement ensures that predicates are logically compatible with their subjects. Thunder (an atmospheric sound) cannot perform the human action of laughing—this is a semantic mismatch. While acceptable as figurative language (personification), it violates literal semantic agreement.",2,"{""semantic agreement"",""subject-predicate"",""personification"",""linguistics""}"
F660,Genre & Craft,Phonological concepts,What is a phoneme?,Smallest sound unit that changes meaning,Minimal sound unit that distinguishes words. Example: /k/ in 'cat' vs. /b/ in 'bat'.,1,"{""phoneme"",""phonology"",""sound"",""linguistics""}"
F661,Genre & Craft,Phonological concepts,What is a grapheme?,Written letter(s) representing a sound,Written symbol for a phoneme. Example: 'ph' in 'phone' = /f/ sound.,1,"{""grapheme"",""phonology"",""writing system"",""linguistics""}"
F662,Genre & Craft,Phonological concepts,What is a digraph?,Two letters making one sound,"Letter pair representing single phoneme. Examples: 'sh' (ship), 'ch' (chair), 'th' (think).",1,"{""digraph"",""phonology"",""spelling"",""literacy""}"
F663,Genre & Craft,Phonological concepts,What is an allophone?,Variant pronunciation of same phoneme,Different sounds of one phoneme based on context. Example: /p/ in 'spin' vs. 'pin' (aspirated).,2,"{""allophone"",""phonology"",""pronunciation"",""linguistics""}"
F664,Genre & Craft,Phonological concepts,What is prosody?,"Rhythm, stress, and intonation in speech","How pitch, rhythm, and stress convey meaning. Example: 'You're going?' (rising = question).",2,"{""prosody"",""intonation"",""stress"",""phonology""}"
F665,Genre & Craft,Morphological concepts,What is a morpheme?,Smallest unit of meaning,Minimal meaningful unit. Example: 'unkindly' = un- (not) + kind + -ly (manner) = 3 morphemes.,1,"{""morpheme"",""morphology"",""meaning"",""linguistics""}"
F666,Genre & Craft,Morphological concepts,What is a free morpheme?,Morpheme that stands alone as a word,"Independent unit functioning as complete word. Examples: book, run, blue.",1,"{""free morpheme"",""morphology"",""word formation"",""linguistics""}"
F667,Genre & Craft,Morphological concepts,What is a bound morpheme?,Morpheme that must attach to another,"Cannot stand alone. Must attach to roots. Examples: -ed, un-, -s.",1,"{""bound morpheme"",""morphology"",""affixes"",""linguistics""}"
F668,Genre & Craft,Morphological concepts,What is a root or base?,Main meaning carrier of a word,"Core morpheme with primary meaning. Example: 'struct' in construct, structure, destruction.",1,"{""root"",""base"",""morphology"",""word formation""}"
F669,Genre & Craft,Morphological concepts,What is a prefix?,Morpheme added to word beginning,"Bound morpheme before root. Examples: un- (unhappy), re- (rewrite), pre- (preview).",1,"{""prefix"",""morphology"",""affixes"",""word formation""}"
F670,Genre & Craft,Morphological concepts,What is a suffix?,Morpheme added to word end,"Bound morpheme after root. Examples: -ness (happiness), -ed (walked), -ly (quickly).",1,"{""suffix"",""morphology"",""affixes"",""word formation""}"
F671,Genre & Craft,Morphological concepts,What is inflection?,Grammatical change without new word,"Marks tense, number, comparison. Examples: talk→talked, cat→cats, big→bigger.",2,"{""inflection"",""morphology"",""grammar"",""linguistics""}"
F672,Genre & Craft,Morphological concepts,What is derivation?,Creating new word or word class,Changes meaning or part of speech. Example: happy (adj) → happiness (noun).,2,"{""derivation"",""morphology"",""word formation"",""linguistics""}"
F673,Genre & Craft,Lexical and semantic concepts,What is a lexicon?,Total vocabulary of language or speaker,"Complete word inventory. Example: engineer's lexicon includes torque, gear ratio, voltage.",1,"{""lexicon"",""vocabulary"",""semantics"",""linguistics""}"
F674,Genre & Craft,Lexical and semantic concepts,What is semantics?,Study of meaning in language,Examines how words convey meaning. Example: 'child' and 'offspring' have similar denotations but different connotations.,1,"{""semantics"",""meaning"",""linguistics""}"
F675,Genre & Craft,Lexical and semantic concepts,What is denotation?,Literal dictionary meaning,Objective definition without emotion. Example: 'snake' = limbless reptile.,1,"{""denotation"",""semantics"",""meaning"",""linguistics""}"
F676,Genre & Craft,Lexical and semantic concepts,What is connotation?,Emotional or cultural associations,Feelings beyond literal meaning. Example: 'snake' can connote danger or deceit.,1,"{""connotation"",""semantics"",""meaning"",""linguistics""}"
F677,Genre & Craft,Lexical and semantic concepts,What is polysemy?,One word with multiple related meanings,"Single word, several related senses. Example: 'light' (illumination or not heavy).",2,"{""polysemy"",""semantics"",""multiple meanings"",""linguistics""}"
F678,Genre & Craft,Lexical and semantic concepts,What is a homophone?,"Words sounding alike, different meaning","Same sound, different spelling/meaning. Examples: flour/flower, there/their/they're.",1,"{""homophone"",""semantics"",""spelling"",""linguistics""}"
F679,Genre & Craft,Lexical and semantic concepts,What is collocation?,Words commonly occurring together,"Habitual word pairs. Example: 'make a decision' (not 'do a decision'), 'heavy rain'.",2,"{""collocation"",""semantics"",""word combinations"",""linguistics""}"
F680,Genre & Craft,Syntactic concepts,What is syntax?,Rules for word order and sentence structure,Governs word arrangement. English uses Subject–Verb–Object: 'The cat chased the mouse.',1,"{""syntax"",""sentence structure"",""grammar"",""linguistics""}"
F681,Genre & Craft,Syntactic concepts,What is a clause?,Group with subject and verb,Contains subject and predicate. Can be independent or dependent. Example: 'Because it rained.',1,"{""clause"",""syntax"",""grammar"",""linguistics""}"
F682,Genre & Craft,Syntactic concepts,What is a phrase?,Group lacking subject and verb,"Meaningful word group without subject-verb. Examples: 'in the morning,' 'the old house.'",1,"{""phrase"",""syntax"",""grammar"",""linguistics""}"
F683,Genre & Craft,Syntactic concepts,What is parallelism?,Repeated grammatical structures,"Same form in series. Example: 'She likes hiking, swimming, biking' (all gerunds).",2,"{""parallelism"",""syntax"",""grammar"",""style""}"
F684,Genre & Craft,Syntactic concepts,What is syntactic ambiguity?,Structure allows multiple interpretations,Sentence permits two+ meanings. Example: 'Visiting relatives can be exhausting.',2,"{""ambiguity"",""syntax"",""multiple meanings"",""linguistics""}"
F685,Genre & Craft,Pragmatic concepts,What is pragmatics?,How context affects meaning,Context influences interpretation. Example: 'Can you open the window?' = polite request.,2,"{""pragmatics"",""context"",""meaning"",""linguistics""}"
F686,Genre & Craft,Pragmatic concepts,What is register?,Level of formality or style,"Language variety by context. Examples: 'What's up?' (informal), 'How do you do?' (formal).",1,"{""register"",""formality"",""pragmatics"",""linguistics""}"
F687,Genre & Craft,Pragmatic concepts,What is code-switching?,Shifting language by audience/context,"Alternating dialects or registers. Example: slang with friends, formal in class.",2,"{""code-switching"",""pragmatics"",""sociolinguistics"",""linguistics""}"
F688,Genre & Craft,Pragmatic concepts,What is discourse?,Connected language beyond single sentence,"Extended communication: conversations, essays, speeches.",1,"{""discourse"",""pragmatics"",""communication"",""linguistics""}"
F689,Genre & Craft,Pragmatic concepts,What is a speech act?,Utterance performing communicative function,"Words that do something. Examples: promising ('I promise'), apologizing ('I'm sorry').",2,"{""speech act"",""pragmatics"",""communication"",""linguistics""}"
F690,Genre & Craft,Pragmatic concepts,What is implicature?,Implied meaning beyond literal words,What's meant vs. said. Example: 'It's cold' implies 'Close the window.',2,"{""implicature"",""pragmatics"",""implied meaning"",""linguistics""}"
F691,Genre & Craft,Social and historical concepts,What is etymology?,Study of word origins and history,Traces word development. Example: 'television' = Greek tele (far) + Latin visio (seeing).,1,"{""etymology"",""word origins"",""history"",""linguistics""}"
F692,Genre & Craft,Social and historical concepts,What is a dialect?,Regional or social language variety,"Variety by region/group. Examples: 'y'all' (Southern), 'you guys' (Midwest).",1,"{""dialect"",""variation"",""sociolinguistics"",""linguistics""}"
F693,Genre & Craft,Social and historical concepts,What is an idiolect?,Individual's personal speech style,Unique speaker patterns. Example: always saying 'you know?' after statements.,2,"{""idiolect"",""individual speech"",""sociolinguistics"",""linguistics""}"
F694,Genre & Craft,Social and historical concepts,What is a loanword?,Word borrowed from another language,"Adopted without translation. Examples: ballet (French), piano (Italian), algebra (Arabic).",1,"{""loanword"",""borrowing"",""etymology"",""linguistics""}"
F695,Meaning & Communication,Language borrowing and etymology,"Which language contributed piano, balcony, and opera to English?",Italian,"Italian borrowings from Renaissance era, reflecting Italy's art and music influence.",1,"{""loanwords"",""Italian"",""borrowing"",""Renaissance""}"
F696,Meaning & Communication,Language borrowing and etymology,"Which language gave English the words cookie, boss, and yacht?",Dutch,Dutch traders and settlers contributed everyday and nautical terms in the 17th century.,1,"{""loanwords"",""Dutch"",""borrowing"",""nautical""}"
F697,Meaning & Communication,Language borrowing and etymology,"Which language is the source of canyon, patio, and rodeo in English?",Spanish,Spanish colonists in North America left lasting vocabulary imprints on English.,1,"{""loanwords"",""Spanish"",""borrowing"",""Americas""}"
F698,Meaning & Communication,Language borrowing and etymology,"Which language contributed bungalow, pyjamas, and shampoo to English?",Hindi,Borrowings from Hindi during British colonial contact with India.,1,"{""loanwords"",""Hindi"",""borrowing"",""colonial""}"
F699,Meaning & Communication,Language borrowing and etymology,"Which language gave English kindergarten, doppelgänger, and waltz?",German,"Germany contributed educational, philosophical, and cultural terms in the 19th century.",1,"{""loanwords"",""German"",""borrowing"",""education""}"
F700,Genre & Craft,Misplaced and dangling modifiers,"What's wrong with: 'While driving to school, the fog made it difficult to see'?",Misplaced modifier - the fog wasn't driving,"The modifier 'While driving to school' should modify the student/driver, not the fog.",2,"{""misplaced modifier"",""grammar"",""clarity"",""syntax""}"
F701,Genre & Craft,Misplaced and dangling modifiers,"Which correctly places modifiers: 'Covered in sauce, the waiter served the pasta' or 'The waiter covered the pasta in sauce before serving it'?",Second version - clearly shows pasta was covered in sauce,First version wrongly suggests the waiter (not pasta) was covered in sauce. Clear placement avoids confusion.,2,"{""misplaced modifier"",""grammar"",""clarity"",""syntax""}"
F702,Genre & Craft,Misplaced and dangling modifiers,What is a dangling modifier?,Modifier with missing or illogical subject,"Example: 'Walking to the store, the rain began' - 'walking' illogically modifies 'rain'. The walker is missing.",2,"{""dangling modifier"",""grammar"",""syntax"",""clarity""}"
F703,Genre & Craft,Misplaced and dangling modifiers,How to fix: 'She nearly watched the movie for three hours'?,'She watched the movie for nearly three hours',"'Nearly' should modify the time (three hours), not the act of watching. Proper placement clarifies meaning.",2,"{""misplaced modifier"",""adverb placement"",""grammar"",""clarity""}"
F704,Genre & Craft,Misplaced and dangling modifiers,What's the clearest way to modify 'test': 'a test to students that was difficult' or 'a difficult test to students'?,'A difficult test to students' - modifier before noun,Placing 'difficult' right before 'test' avoids ambiguity. First version could mean students were difficult.,1,"{""modifier placement"",""grammar"",""clarity"",""syntax""}"
F705,Skills & Processes,Visual literacy and symbolic interpretation,A photo shows a cracked mirror with a gavel. What cause-and-effect does this symbolize?,Flawed justice system causing breakdown of public trust,Gavel = law/justice (cause). Cracked mirror = shattered integrity/reflection (effect: lost public faith). Visual symbolism conveys social commentary.,2,"{""visual literacy"",""symbolism"",""media analysis"",""interpretation""}"
F706,Skills & Processes,Visual literacy and symbolic interpretation,An illustration shows a melted pocket watch over a tree branch with a submerged city. What does this symbolize?,Rapid time passage and climate change effects,Melting watch = time running out/accelerating change (cause: time/inaction). Submerged city = flooding/climate catastrophe (effect). Urgency of environmental action.,2,"{""visual literacy"",""symbolism"",""climate change"",""interpretation""}"
F707,Skills & Processes,Content-area literacy and instructional strategies,What's the best purpose for a reading journal in a science ecology unit?,Connect new vocabulary to familiar terms and summarize key concepts,"Directly addresses content learning (vocabulary, concepts, summarization) and active processing of informational text. Most effective for instructional goals.",2,"{""reading journal"",""content literacy"",""vocabulary"",""comprehension""}"
F708,Skills & Processes,Metacognition and comprehension monitoring,Best reading journal prompt for promoting metacognition in informational text?,"What confused you, and what steps did you take to clarify its meaning?","Forces students to monitor comprehension, identify breakdowns, and reflect on problem-solving strategies—core metacognition for content learning.",2,"{""metacognition"",""reading journal"",""comprehension monitoring"",""problem-solving""}"
F709,Skills & Processes,Assessment of content comprehension through journals,How should a history teacher assess journal entries for content comprehension?,Prioritize entries showing questions connecting new events to prior concepts,Demonstrates higher-order thinking (analysis/synthesis) by integrating new content with prior knowledge—strong indicator of deep content learning.,2,"{""assessment"",""reading journal"",""content comprehension"",""synthesis""}"
F710,Skills & Processes,Historical context and literary analysis,Students confused why 19th-century protagonist won't leave despite inheritance. Best activity?,Analyze Married Women's Property Acts to understand legal restrictions on single women,"Primary source analysis directly addresses historical/legal constraints (no loans, property, credit without male relative). Builds historical empathy for character's predicament.",2,"{""historical context"",""primary sources"",""literature analysis"",""social constraints""}"
F711,Meaning & Communication,Word Relationships - Cognates,What is a cognate?,A word in two languages that shares the same origin and a similar meaning,Example: Family (English) and familia (Spanish) both come from Latin familia.,2,"{""cognates"",""word relationships"",""etymology""}"
F712,Meaning & Communication,Word Relationships - Cognates,What is a true cognate?,"A cognate that looks alike, sounds similar, and has the same meaning in both languages",Example: Hospital (English) and hospital (Spanish).,2,"{""cognates"",""true cognates"",""word relationships""}"
